sect_3,run_3,block_3,trial_3,actStartTS_3,calcStartTS_3,relStartT_3,seqidx_3,pos_3,taskidx_3,stimidx_3,corrresp_3,resp_3,rt_3,result_3,iti_3,calcITIstartTS_3,spq_3,actspqTS_3,spqrt_3,spqresp_3,spqresult_3,color_3,shape_3,size_3
3,1,1,1,0,0,0,2,1,1,4,1,0,0,0,0.5,0,0,0,0,0,0,1,2,2
3,1,1,2,0,0,0,2,2,2,2,1,0,0,0,0.5,0,0,0,0,0,0,1,1,2
3,1,1,3,0,0,0,2,3,2,4,2,0,0,0,0.5,0,0,0,0,0,0,1,2,2
3,1,1,4,0,0,0,2,4,1,6,2,0,0,0,0.5,0,0,0,0,0,0,2,1,2
3,1,1,5,0,0,0,2,1,1,7,2,0,0,0,0.5,0,0,0,0,0,0,2,2,1
3,1,2,1,0,0,0,4,1,2,7,2,0,0,0,0.5,0,0,0,0,0,0,2,2,1
3,1,2,2,0,0,0,4,2,1,5,2,0,0,0,0.5,0,0,0,0,0,0,2,1,1
3,1,2,3,0,0,0,4,3,1,3,1,0,0,0,0.5,0,0,0,0,0,0,1,2,1
3,1,2,4,0,0,0,4,4,2,6,1,0,0,0,0.5,0,0,0,0,0,0,2,1,2
3,1,2,5,0,0,0,4,1,2,3,2,0,0,0,0.5,0,0,0,0,0,0,1,2,1
3,1,2,6,0,0,0,4,2,1,5,2,0,0,0,0.5,0,0,0,0,0,0,2,1,1
3,1,3,1,0,0,0,3,1,2,1,1,0,0,0,0.5,0,0,0,0,0,0,1,1,1
3,1,3,2,0,0,0,3,2,2,8,2,0,0,0,0.5,0,0,0,0,0,0,2,2,2
3,1,3,3,0,0,0,3,3,1,1,1,0,0,0,0.5,0,0,0,0,0,0,1,1,1
3,1,3,4,0,0,0,3,4,1,3,1,0,0,0,0.5,0,0,0,0,0,0,1,2,1
3,1,3,5,0,0,0,3,1,2,1,1,0,0,0,0.5,0,0,0,0,0,0,1,1,1
3,1,3,6,0,0,0,3,2,2,6,1,0,0,0,0.5,0,0,0,0,0,0,2,1,2
3,1,3,7,0,0,0,3,3,1,1,1,0,0,0,0.5,0,0,0,0,0,0,1,1,1
